KPI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Ticker,Type
Total Liabilities,,7282,9933,12257,14967,14121,13966,10983,10358,11496,14198,13955,CHENNPETRO,Balance_Sheet
Fixed Assets,,2872,2929,3436,3716,4568,4292,4077,4119,3883,5914,6977,CHENNPETRO,Balance_Sheet
CWIP,,718,1281,1133,1012,173,344,782,1679,2763,1410,1199,CHENNPETRO,Balance_Sheet
Investments,,23,23,22,24,24,25,25,12,12,12,12,CHENNPETRO,Balance_Sheet
Other Assets,,3669,5700,7666,10215,9355,9305,6098,4547,4838,6863,5767,CHENNPETRO,Balance_Sheet
Total Assets,,7282,9933,12257,14967,14121,13966,10983,10358,11496,14198,13955,CHENNPETRO,Balance_Sheet
Cash from Operating Activity,,1824,-1497,965,1567,-1350,1141,1078,2292,609,2757,-145,CHENNPETRO,Cash_Flow
Cash from Investing Activity,,-408,-888,-712,-503,-393,-279,-477,-1142,-1169,-969,-1273,CHENNPETRO,Cash_Flow
Cash from Financing Activity,,-1421,2390,-255,-1037,1746,-856,-608,-1152,561,-1788,1418,CHENNPETRO,Cash_Flow
Net Cash Flow,,-5,5,-2,26,2,5,-6,-1,0,0,0,CHENNPETRO,Cash_Flow
Sales,,1256,1420,1462,1406,1680,1798,1583,1990,2059,2355,2966,COCHINSHIP,Income_Statement
Expenses,,948,1088,1154,1208,1327,1381,1493,1598,1673,1890,2392,COCHINSHIP,Income_Statement
Operating Profit,,308,333,308,199,353,417,90,392,385,465,574,COCHINSHIP,Income_Statement
OPM %,,25%,23%,21%,14%,21%,23%,6%,20%,19%,20%,19%,COCHINSHIP,Income_Statement
Other Income,,-30,33,82,67,87,61,77,107,159,189,227,COCHINSHIP,Income_Statement
Interest,,20,19,29,13,23,20,19,12,12,12,15,COCHINSHIP,Income_Statement
Depreciation,,10,15,17,22,19,25,38,37,39,38,34,COCHINSHIP,Income_Statement
Profit before tax,,248,331,344,231,397,433,110,450,493,605,751,COCHINSHIP,Income_Statement
Tax %,,35%,33%,34%,33%,33%,35%,37%,35%,35%,34%,36%,COCHINSHIP,Income_Statement
Net Profit,,160,223,228,155,266,282,69,292,322,397,481,COCHINSHIP,Income_Statement
EPS in Rs,,14.13,19.69,20.09,13.71,23.51,24.87,6.12,25.75,28.39,29.19,36.58,COCHINSHIP,Income_Statement
Dividend Payout %,,7%,5%,5%,13%,6%,6%,25%,30%,32%,41%,36%,COCHINSHIP,Income_Statement
Share Capital,,232,192,192,152,113,113,113,113,113,136,132,COCHINSHIP,Balance_Sheet
Reserves,,-110,491,775,865,1112,1376,1441,1711,1915,3120,3201,COCHINSHIP,Balance_Sheet
Borrowings,,101,0,0,0,0,334,123,123,123,123,123,COCHINSHIP,Balance_Sheet
Other Liabilities,,2463,1823,1668,1631,1175,1164,1214,1402,1170,2103,1793,COCHINSHIP,Balance_Sheet
Total Liabilities,,2568,2427,2557,2609,2401,2987,2891,3349,3321,5482,5248,COCHINSHIP,Balance_Sheet
Fixed Assets,,122,190,191,186,240,370,370,370,371,349,375,COCHINSHIP,Balance_Sheet
CWIP,,45,49,37,64,138,8,13,24,54,115,341,COCHINSHIP,Balance_Sheet
Investments,,0,3,0,0,0,0,0,0,0,16,60,COCHINSHIP,Balance_Sheet
Other Assets,,2401,2185,2329,2360,2022,2609,2508,2954,2897,5001,4472,COCHINSHIP,Balance_Sheet
Total Assets,,2568,2427,2557,2609,2401,2987,2891,3349,3321,5482,5248,COCHINSHIP,Balance_Sheet
Cash from Operating Activity,,-102,11,-24,310,-25,-584,663,40,212,632,-448,COCHINSHIP,Cash_Flow
Cash from Investing Activity,,0,-53,22,10,-103,15,16,47,65,-1328,1044,COCHINSHIP,Cash_Flow
Cash from Financing Activity,,-134,-186,-58,-86,-77,271,-235,-32,-113,812,-409,COCHINSHIP,Cash_Flow
Net Cash Flow,,-236,-229,-60,235,-205,-298,444,55,165,116,186,COCHINSHIP,Cash_Flow
Sales,,567,562,648,864,1052,1224,1294,1246,1292,1440,1615,CYIENT,Income_Statement
Expenses,,488,411,511,653,769,880,992,995,1012,1065,1184,CYIENT,Income_Statement
Operating Profit,,78,150,137,211,282,344,302,250,280,375,431,CYIENT,Income_Statement
OPM %,,14%,27%,21%,24%,27%,28%,23%,20%,22%,26%,27%,CYIENT,Income_Statement
Other Income,,34,46,32,54,36,52,103,106,62,203,162,CYIENT,Income_Statement
Interest,,4,0,0,1,0,0,1,0,1,1,1,CYIENT,Income_Statement
Depreciation,,43,41,38,41,56,65,62,68,54,51,51,CYIENT,Income_Statement
Profit before tax,,66,155,131,223,261,332,343,288,287,526,541,CYIENT,Income_Statement
Tax %,,-7%,18%,10%,29%,29%,23%,21%,19%,17%,24%,19%,CYIENT,Income_Statement
Net Profit,,71,127,118,159,184,255,271,234,237,402,441,CYIENT,Income_Statement
EPS in Rs,,6.41,11.42,10.59,14.24,16.52,22.77,24.13,20.76,21.05,35.69,38.98,CYIENT,Income_Statement
Dividend Payout %,,12%,9%,12%,18%,27%,22%,33%,34%,50%,36%,38%,CYIENT,Income_Statement
Share Capital,,28,28,56,56,56,56,56,56,56,56,55,CYIENT,Balance_Sheet
Reserves,,662,776,852,979,1111,1330,1524,1621,1826,2005,2181,CYIENT,Balance_Sheet
Borrowings,,19,0,0,0,0,0,0,0,0,0,0,CYIENT,Balance_Sheet
Other Liabilities,,190,164,115,162,217,236,260,244,281,340,344,CYIENT,Balance_Sheet
Total Liabilities,,899,968,1023,1197,1384,1622,1841,1922,2163,2401,2580,CYIENT,Balance_Sheet
Fixed Assets,,209,199,270,288,312,313,309,272,256,254,266,CYIENT,Balance_Sheet
CWIP,,58,60,6,17,23,4,3,1,16,46,76,CYIENT,Balance_Sheet
Investments,,103,276,179,167,206,185,480,538,553,577,538,CYIENT,Balance_Sheet
Other Assets,,528,432,568,725,844,1121,1049,1112,1338,1523,1700,CYIENT,Balance_Sheet
Total Assets,,899,968,1023,1197,1384,1622,1841,1922,2163,2401,2580,CYIENT,Balance_Sheet
Cash from Operating Activity,,110,131,57,113,123,144,216,258,236,240,230,CYIENT,Cash_Flow
Cash from Investing Activity,,102,-327,60,14,-48,59,-283,-46,-2,18,40,CYIENT,Cash_Flow
Cash from Financing Activity,,-28,-26,-11,-31,-39,-47,-72,-160,-74,-189,-288,CYIENT,Cash_Flow
Net Cash Flow,,184,-222,106,95,35,156,-139,52,160,68,-18,CYIENT,Cash_Flow
Sales,,3405,3402,4082,4956,5400,6082,5500,5735,5732,6807,7684,DCMSHRIRAM,Income_Statement
Expenses,,3084,3106,3888,4648,4898,5546,5083,5196,4930,5765,6318,DCMSHRIRAM,Income_Statement
Operating Profit,,322,296,194,308,502,536,417,539,802,1042,1366,DCMSHRIRAM,Income_Statement
OPM %,,9%,9%,5%,6%,9%,9%,8%,9%,14%,15%,18%,DCMSHRIRAM,Income_Statement
Other Income,,47,54,14,-14,-2,51,57,56,-27,63,87,DCMSHRIRAM,Income_Statement
Interest,,147,86,101,158,153,146,109,85,73,82,118,DCMSHRIRAM,Income_Statement
Depreciation,,146,160,158,154,144,134,107,95,111,138,155,DCMSHRIRAM,Income_Statement
Profit before tax,,76,104,-51,-18,204,307,257,415,591,885,1180,DCMSHRIRAM,Income_Statement
Tax %,,-34%,31%,40%,19%,7%,11%,6%,15%,12%,22%,23%,DCMSHRIRAM,Income_Statement
Net Profit,,102,71,-31,-14,191,275,242,353,522,688,907,DCMSHRIRAM,Income_Statement
EPS in Rs,,6.14,4.3,-1.85,-0.86,11.49,16.83,14.9,21.73,32.14,42.39,57.07,DCMSHRIRAM,Income_Statement
Dividend Payout %,,13%,19%,-22%,-47%,14%,12%,15%,15%,18%,19%,17%,DCMSHRIRAM,Income_Statement
Share Capital,,33,33,33,33,33,33,33,33,33,33,31,DCMSHRIRAM,Balance_Sheet
Reserves,,1198,1254,1228,1206,1367,1641,1824,2113,2515,3045,3529,DCMSHRIRAM,Balance_Sheet
Borrowings,,1962,1452,1669,1789,1527,1155,744,1059,1073,756,1611,DCMSHRIRAM,Balance_Sheet
Other Liabilities,,699,759,870,1499,1661,1940,1744,1794,1918,1812,1959,DCMSHRIRAM,Balance_Sheet
Total Liabilities,,3892,3498,3801,4528,4588,4768,4346,4999,5540,5646,7130,DCMSHRIRAM,Balance_Sheet
Fixed Assets,,2112,2011,1914,1801,1462,1414,1346,1336,1930,2118,2584,DCMSHRIRAM,Balance_Sheet
CWIP,,29,27,28,27,16,21,31,325,33,86,311,DCMSHRIRAM,Balance_Sheet
Investments,,56,59,50,50,47,238,45,99,26,67,75,DCMSHRIRAM,Balance_Sheet
Other Assets,,1696,1401,1809,2650,3064,3094,2924,3239,3551,3375,4161,DCMSHRIRAM,Balance_Sheet
Total Assets,,3892,3498,3801,4528,4588,4768,4346,4999,5540,5646,7130,DCMSHRIRAM,Balance_Sheet
Cash from Operating Activity,,271,703,-56,308,274,961,186,128,790,812,799,DCMSHRIRAM,Cash_Flow
Cash from Investing Activity,,-335,-66,-69,-77,82,-190,195,-361,-452,-315,-828,DCMSHRIRAM,Cash_Flow
Cash from Financing Activity,,49,-622,125,-107,-442,-580,-585,174,-169,-569,279,DCMSHRIRAM,Cash_Flow
Net Cash Flow,,-15,15,1,125,-85,190,-203,-58,170,-72,250,DCMSHRIRAM,Cash_Flow
Sales,,572,532,672,790,1019,1270,1327,1336,1233,1455,1792,DEEPAKNTR,Income_Statement
Expenses,,501,490,615,732,947,1154,1187,1166,1088,1249,1481,DEEPAKNTR,Income_Statement
Operating Profit,,71,42,58,58,72,116,140,170,145,206,311,DEEPAKNTR,Income_Statement
OPM %,,12%,8%,9%,7%,7%,9%,11%,13%,12%,14%,17%,DEEPAKNTR,Income_Statement
Other Income,,6,14,5,2,11,0,2,0,84,10,-1,DEEPAKNTR,Income_Statement
Interest,,18,8,7,11,11,28,38,39,32,42,45,DEEPAKNTR,Income_Statement
Depreciation,,17,18,18,18,19,30,36,39,48,52,53,DEEPAKNTR,Income_Statement
Profit before tax,,43,30,37,32,53,58,68,91,149,122,212,DEEPAKNTR,Income_Statement
Tax %,,34%,34%,30%,27%,28%,34%,21%,29%,26%,32%,35%,DEEPAKNTR,Income_Statement
Net Profit,,28,20,26,23,38,38,53,65,111,83,138,DEEPAKNTR,Income_Statement
EPS in Rs,,,1.91,2.47,2.21,3.62,3.67,5.11,5.6,8.46,6.12,10.12,DEEPAKNTR,Income_Statement
Dividend Payout %,,16%,26%,24%,27%,22%,27%,20%,21%,14%,21%,20%,DEEPAKNTR,Income_Statement
Share Capital,,9,10,10,10,10,10,21,23,26,27,27,DEEPAKNTR,Balance_Sheet
Reserves,,182,209,227,242,270,297,326,453,706,917,1031,DEEPAKNTR,Balance_Sheet
Borrowings,,90,93,62,261,341,508,545,495,574,462,328,DEEPAKNTR,Balance_Sheet
Other Liabilities,,78,110,118,189,268,245,234,290,254,397,450,DEEPAKNTR,Balance_Sheet
Total Liabilities,,358,422,417,703,890,1061,1126,1261,1559,1802,1835,DEEPAKNTR,Balance_Sheet
Fixed Assets,,165,166,163,181,325,461,549,593,568,569,589,DEEPAKNTR,Balance_Sheet
CWIP,,8,2,7,102,118,71,38,14,41,36,29,DEEPAKNTR,Balance_Sheet
Investments,,1,27,1,1,1,3,17,133,358,455,563,DEEPAKNTR,Balance_Sheet
Other Assets,,184,227,246,418,445,526,522,520,593,742,654,DEEPAKNTR,Balance_Sheet
Total Assets,,358,422,417,703,890,1061,1126,1261,1559,1802,1835,DEEPAKNTR,Balance_Sheet
Cash from Operating Activity,,84,32,38,43,24,-14,105,191,93,214,277,DEEPAKNTR,Cash_Flow
Cash from Investing Activity,,-23,-37,6,-139,-156,-97,-87,-162,-274,-189,-78,DEEPAKNTR,Cash_Flow
Cash from Financing Activity,,-64,6,-43,184,47,108,-22,-28,178,-25,-198,DEEPAKNTR,Cash_Flow
Net Cash Flow,,-3,1,1,88,-84,-3,-4,1,-2,0,2,DEEPAKNTR,Cash_Flow
Sales,,43,54,262,54,39,117,194,240,278,376,475,DELTACORP,Income_Statement
Expenses,,6,10,98,44,43,88,124,158,181,220,265,DELTACORP,Income_Statement
Operating Profit,,37,44,164,10,-4,29,70,82,97,155,211,DELTACORP,Income_Statement
OPM %,,86%,82%,63%,19%,-11%,24%,36%,34%,35%,41%,44%,DELTACORP,Income_Statement
Other Income,,7,4,-19,14,32,65,11,0,5,24,66,DELTACORP,Income_Statement
Interest,,33,29,12,6,0,13,16,15,14,5,1,DELTACORP,Income_Statement
Depreciation,,1,0,0,0,0,5,12,11,12,15,16,DELTACORP,Income_Statement
Profit before tax,,10,19,132,18,27,75,53,56,76,160,260,DELTACORP,Income_Statement
Tax %,,20%,27%,3%,32%,19%,17%,40%,34%,31%,35%,29%,DELTACORP,Income_Statement
Net Profit,,8,14,129,12,22,62,32,37,53,105,183,DELTACORP,Income_Statement
EPS in Rs,,0.61,0.81,6.37,0.56,0.95,2.73,1.38,1.61,2.27,3.91,6.77,DELTACORP,Income_Statement
Dividend Payout %,,33%,31%,5%,63%,26%,9%,7%,12%,15%,26%,10%,DELTACORP,Income_Statement
Share Capital,,26,29,32,35,23,23,23,23,23,27,27,DELTACORP,Balance_Sheet
Reserves,,142,239,535,661,678,793,838,861,931,1644,1908,DELTACORP,Balance_Sheet
Borrowings,,183,175,66,5,1,146,111,79,66,2,0,DELTACORP,Balance_Sheet
Other Liabilities,,49,44,52,29,12,42,33,34,38,227,67,DELTACORP,Balance_Sheet
Total Liabilities,,387,474,672,717,713,1004,1006,997,1058,1901,2002,DELTACORP,Balance_Sheet
Fixed Assets,,2,2,1,1,1,221,215,203,206,335,328,DELTACORP,Balance_Sheet
CWIP,,12,12,20,24,0,1,1,0,0,2,6,DELTACORP,Balance_Sheet
Investments,,258,245,129,98,82,478,427,404,420,986,1350,DELTACORP,Balance_Sheet
Other Assets,,116,216,522,593,629,304,363,390,432,579,318,DELTACORP,Balance_Sheet
Total Assets,,387,474,672,717,713,1004,1006,997,1058,1901,2002,DELTACORP,Balance_Sheet
Cash from Operating Activity,,-6,3,102,17,58,-351,51,68,82,132,129,DELTACORP,Cash_Flow
Cash from Investing Activity,,70,-51,-136,13,-105,447,-27,-15,-54,-578,-116,DELTACORP,Cash_Flow
Cash from Financing Activity,,-64,52,76,-5,-23,-70,-42,-50,-21,488,-48,DELTACORP,Cash_Flow
Net Cash Flow,,0,4,42,25,-71,27,-17,3,6,42,-35,DELTACORP,Cash_Flow
Sales,,337,408,491,529,582,738,785,829,883,963,1006,DHANUKA,Income_Statement
Expenses,,289,350,415,450,500,618,653,689,713,796,860,DHANUKA,Income_Statement
Operating Profit,,48,58,76,80,82,121,132,140,170,166,146,DHANUKA,Income_Statement
OPM %,,14%,14%,15%,15%,14%,16%,17%,17%,19%,17%,15%,DHANUKA,Income_Statement
Other Income,,1,1,3,1,7,5,6,13,18,16,21,DHANUKA,Income_Statement
Interest,,10,7,6,5,4,4,3,1,1,1,1,DHANUKA,Income_Statement
Depreciation,,3,3,5,5,5,5,6,6,15,14,12,DHANUKA,Income_Statement
Profit before tax,,36,49,67,70,81,116,129,145,172,167,154,DHANUKA,Income_Statement
Tax %,,35%,26%,24%,18%,20%,20%,18%,26%,29%,24%,27%,DHANUKA,Income_Statement
Net Profit,,23,36,51,57,64,93,106,107,122,126,113,DHANUKA,Income_Statement
EPS in Rs,,5.05,7.92,10.22,11.42,12.88,18.62,21.21,21.45,24.83,25.71,23.66,DHANUKA,Income_Statement
Dividend Payout %,,24%,18%,20%,19%,22%,21%,6%,30%,2%,21%,3%,DHANUKA,Income_Statement
Share Capital,,9,9,10,10,10,10,3,10,10,10,10,DHANUKA,Balance_Sheet
Reserves,,59,88,160,205,253,322,402,470,512,624,633,DHANUKA,Balance_Sheet
Borrowings,,52,58,60,46,34,39,16,8,8,5,22,DHANUKA,Balance_Sheet
Other Liabilities,,118,141,127,135,124,145,173,169,185,185,171,DHANUKA,Balance_Sheet
Total Liabilities,,239,296,358,396,420,517,594,657,715,823,835,DHANUKA,Balance_Sheet
Fixed Assets,,24,38,38,39,63,67,70,133,138,131,117,DHANUKA,Balance_Sheet
CWIP,,1,0,1,0,1,22,38,0,0,0,1,DHANUKA,Balance_Sheet
Investments,,0,0,0,15,8,1,47,92,66,182,120,DHANUKA,Balance_Sheet
Other Assets,,214,257,319,341,348,427,438,431,510,510,597,DHANUKA,Balance_Sheet
Total Assets,,239,296,358,396,420,517,594,657,715,823,835,DHANUKA,Balance_Sheet
Cash from Operating Activity,,8,16,-14,59,47,33,110,140,63,138,13,DHANUKA,Cash_Flow
Cash from Investing Activity,,-3,-16,-4,-20,-18,-19,-70,-66,20,-111,63,DHANUKA,Cash_Flow
Cash from Financing Activity,,-4,0,21,-35,-31,-17,-38,-76,-81,-20,-87,DHANUKA,Cash_Flow
Net Cash Flow,,0,0,3,4,-3,-3,2,-2,3,7,-10,DHANUKA,Cash_Flow
Sales,,,,,,,,0,7,451,474,549,DCAL,Income_Statement
Expenses,,,,,,,,0,5,303,308,356,DCAL,Income_Statement
Operating Profit,,,,,,,,0,2,148,166,194,DCAL,Income_Statement
OPM %,,,,,,,,,25%,33%,35%,35%,DCAL,Income_Statement
Other Income,,,,,,,,0,0,71,66,72,DCAL,Income_Statement
Interest,,,,,,,,1,1,39,35,47,DCAL,Income_Statement
Depreciation,,,,,,,,0,0,136,134,136,DCAL,Income_Statement
Profit before tax,,,,,,,,0,1,44,62,82,DCAL,Income_Statement
Tax %,,,,,,,,0%,12%,45%,40%,31%,DCAL,Income_Statement
Net Profit,,,,,,,,0,1,24,37,56,DCAL,Income_Statement
EPS in Rs,,,,,,,,,,,2.3,3.47,DCAL,Income_Statement
Dividend Payout %,,,,,,,,0%,0%,0%,0%,6%,DCAL,Income_Statement
Share Capital,,,,,,,,0,0,0,32,32,DCAL,Balance_Sheet
Reserves,,,,,,,,-1,0,4771,4759,4860,DCAL,Balance_Sheet
Borrowings,,,,,,,,10,9,445,622,584,DCAL,Balance_Sheet
Other Liabilities,,,,,,,,3,3,321,394,339,DCAL,Balance_Sheet
Total Liabilities,,,,,,,,12,12,5537,5807,5816,DCAL,Balance_Sheet
Fixed Assets,,,,,,,,0,0,1927,1853,1715,DCAL,Balance_Sheet
CWIP,,,,,,,,0,0,41,48,70,DCAL,Balance_Sheet
Investments,,,,,,,,0,0,2761,2937,2907,DCAL,Balance_Sheet
Other Assets,,,,,,,,12,12,808,969,1124,DCAL,Balance_Sheet
Total Assets,,,,,,,,12,12,5537,5807,5816,DCAL,Balance_Sheet
Cash from Operating Activity,,,,,,,,-1,3,270,20,120,DCAL,Cash_Flow
Cash from Investing Activity,,,,,,,,0,0,-16,-175,-24,DCAL,Cash_Flow
Cash from Financing Activity,,,,,,,,1,-2,-225,142,-85,DCAL,Cash_Flow
Net Cash Flow,,,,,,,,0,1,29,-12,10,DCAL,Cash_Flow
Sales,,,655,580,568,725,1062,1115,1252,1645,2210,2526,DIXON,Income_Statement
Expenses,,,639,578,564,710,1043,1092,1212,1560,2104,2400,DIXON,Income_Statement
Operating Profit,,,15,2,4,15,18,23,40,85,107,126,DIXON,Income_Statement
OPM %,,,2%,0%,1%,2%,2%,2%,3%,5%,5%,5%,DIXON,Income_Statement
Other Income,,,0,0,2,0,8,1,15,0,3,4,DIXON,Income_Statement
Interest,,,0,0,9,8,8,6,7,15,13,26,DIXON,Income_Statement
Depreciation,,,0,0,4,4,4,5,6,10,14,20,DIXON,Income_Statement
Profit before tax,,,15,2,-7,3,14,13,41,61,82,84,DIXON,Income_Statement
Tax %,,,0%,0%,20%,44%,22%,24%,12%,28%,31%,33%,DIXON,Income_Statement
Net Profit,,,15,2,-6,2,11,10,36,44,57,56,DIXON,Income_Statement
EPS in Rs,,,48.66,5.38,-19.24,6.22,35.35,31.61,117.3,39.81,50.34,49.77,DIXON,Income_Statement
Dividend Payout %,,,6%,19%,0%,16%,3%,3%,11%,15%,4%,4%,DIXON,Income_Statement
Share Capital,,,3,3,3,3,3,3,3,11,11,11,DIXON,Balance_Sheet
Reserves,,,71,72,56,57,67,76,108,179,292,349,DIXON,Balance_Sheet
Borrowings,,,72,106,114,87,87,65,70,43,45,139,DIXON,Balance_Sheet
Other Liabilities,,,82,68,88,112,110,138,146,265,320,605,DIXON,Balance_Sheet
Total Liabilities,,,227,249,261,259,268,283,328,498,668,1103,DIXON,Balance_Sheet
Fixed Assets,,,64,67,66,66,71,76,85,129,168,207,DIXON,Balance_Sheet
CWIP,,,4,3,4,5,0,0,0,2,16,19,DIXON,Balance_Sheet
Investments,,,5,7,7,8,9,9,25,9,13,18,DIXON,Balance_Sheet
Other Assets,,,154,172,184,181,188,198,217,359,471,859,DIXON,Balance_Sheet
Total Assets,,,227,249,261,259,268,283,328,498,668,1103,DIXON,Balance_Sheet
Cash from Operating Activity,,,13,-15,4,43,6,40,26,46,61,-12,DIXON,Cash_Flow
Cash from Investing Activity,,,-24,-6,-3,-6,2,-11,-19,-39,-97,-54,DIXON,Cash_Flow
Cash from Financing Activity,,,11,26,-1,-37,-9,-29,-7,-7,42,67,DIXON,Cash_Flow
Net Cash Flow,,,0,6,0,0,-1,0,0,0,7,1,DIXON,Cash_Flow
Sales,,756,1146,1271,1542,1992,1782,2081,2601,2248,1921,1845,EIDPARRY,Income_Statement
Expenses,,712,940,1248,1438,1760,1683,1875,2540,1903,1758,1876,EIDPARRY,Income_Statement
Operating Profit,,43,206,22,104,233,99,206,61,345,163,-31,EIDPARRY,Income_Statement
OPM %,,6%,18%,2%,7%,12%,6%,10%,2%,15%,8%,-2%,EIDPARRY,Income_Statement
Other Income,,922,150,167,170,373,163,183,97,157,130,372,EIDPARRY,Income_Statement
Interest,,27,39,48,64,137,196,151,167,140,113,113,EIDPARRY,Income_Statement
Depreciation,,50,69,74,74,108,97,102,112,111,113,114,EIDPARRY,Income_Statement
Profit before tax,,888,247,67,136,361,-31,136,-122,252,67,114,EIDPARRY,Income_Statement
Tax %,,22%,17%,-18%,-1%,8%,185%,-9%,24%,-13%,-50%,-43%,EIDPARRY,Income_Statement
Net Profit,,692,205,79,137,332,27,148,-92,284,101,163,EIDPARRY,Income_Statement
EPS in Rs,,40.18,11.89,4.58,7.91,18.87,1.51,8.43,-5.24,16.13,5.71,9.22,EIDPARRY,Income_Statement
Dividend Payout %,,25%,42%,44%,51%,32%,0%,36%,0%,25%,53%,33%,EIDPARRY,Income_Statement
Share Capital,,17,17,17,17,18,18,18,18,18,18,18,EIDPARRY,Balance_Sheet
Reserves,,952,1079,1133,1200,1329,1262,1352,1265,1460,1620,1696,EIDPARRY,Balance_Sheet
Borrowings,,539,576,654,885,1834,1977,1845,1319,943,1018,832,EIDPARRY,Balance_Sheet
Other Liabilities,,363,453,278,342,454,573,681,1128,1019,1386,1339,EIDPARRY,Balance_Sheet
Total Liabilities,,1871,2125,2082,2444,3635,3829,3895,3730,3440,4042,3885,EIDPARRY,Balance_Sheet
Fixed Assets,,795,816,783,765,1230,1481,1481,1508,1480,1391,1287,EIDPARRY,Balance_Sheet
CWIP,,70,36,32,49,62,49,24,33,8,5,11,EIDPARRY,Balance_Sheet
Investments,,486,683,434,683,871,545,683,811,786,878,979,EIDPARRY,Balance_Sheet
Other Assets,,520,590,833,947,1472,1754,1708,1378,1166,1768,1607,EIDPARRY,Balance_Sheet
Total Assets,,1871,2125,2082,2444,3635,3829,3895,3730,3440,4042,3885,EIDPARRY,Balance_Sheet
Cash from Operating Activity,,73,216,-108,-7,-93,146,293,945,518,-19,-4,EIDPARRY,Cash_Flow
Cash from Investing Activity,,150,-126,138,-83,-188,143,-1,-95,27,45,397,EIDPARRY,Cash_Flow
Cash from Financing Activity,,-248,-103,-29,111,261,-262,-323,-808,-594,-26,-393,EIDPARRY,Cash_Flow
Net Cash Flow,,-25,-12,0,21,-20,27,-31,42,-48,-1,0,EIDPARRY,Cash_Flow
Sales,,894,774,1028,1117,1134,1239,1335,1420,1278,1350,1543,EIHOTEL,Income_Statement
Expenses,,666,647,835,871,926,1007,1067,1173,1084,1130,1233,EIHOTEL,Income_Statement
Operating Profit,,228,127,193,246,208,232,268,247,194,220,310,EIHOTEL,Income_Statement
OPM %,,26%,16%,19%,22%,18%,19%,20%,17%,15%,16%,20%,EIHOTEL,Income_Statement
Other Income,,181,131,135,57,10,53,38,54,59,82,23,EIHOTEL,Income_Statement
Interest,,82,101,155,54,45,41,31,23,14,20,46,EIHOTEL,Income_Statement
Depreciation,,54,68,87,93,101,99,124,114,110,109,123,EIHOTEL,Income_Statement
Profit before tax,,273,89,85,155,72,145,151,165,128,174,164,EIHOTEL,Income_Statement
Tax %,,38%,35%,25%,21%,29%,34%,36%,34%,24%,35%,31%,EIHOTEL,Income_Statement
Net Profit,,170,57,65,122,51,95,97,109,97,112,113,EIHOTEL,Income_Statement
EPS in Rs,,2.73,0.92,1.03,1.96,0.81,1.52,1.55,1.74,1.54,1.8,1.81,EIHOTEL,Income_Statement
Dividend Payout %,,28%,82%,80%,51%,101%,66%,65%,58%,53%,46%,45%,EIHOTEL,Income_Statement
Share Capital,,79,79,114,114,114,114,114,114,114,114,114,EIHOTEL,Balance_Sheet
Reserves,,1339,1338,2473,2521,2511,2533,2543,2574,2654,2702,2741,EIHOTEL,Balance_Sheet
Borrowings,,1023,1260,835,279,388,283,210,255,296,439,480,EIHOTEL,Balance_Sheet
Other Liabilities,,413,387,414,415,428,483,499,415,415,528,517,EIHOTEL,Balance_Sheet
Total Liabilities,,2853,3063,3837,3329,3441,3413,3367,3357,3479,3782,3852,EIHOTEL,Balance_Sheet
Fixed Assets,,1396,1998,2061,2015,2117,2068,1947,1683,1568,2021,2049,EIHOTEL,Balance_Sheet
CWIP,,587,174,101,159,40,46,86,105,313,134,64,EIHOTEL,Balance_Sheet
Investments,,350,378,605,628,706,704,729,699,764,763,829,EIHOTEL,Balance_Sheet
Other Assets,,520,513,1070,527,578,595,606,870,834,864,910,EIHOTEL,Balance_Sheet
Total Assets,,2853,3063,3837,3329,3441,3413,3367,3357,3479,3782,3852,EIHOTEL,Balance_Sheet
Cash from Operating Activity,,144,55,236,234,134,222,247,208,198,215,212,EIHOTEL,Cash_Flow
Cash from Investing Activity,,-264,-271,-183,-139,-124,-28,-74,-90,-211,-267,-144,EIHOTEL,Cash_Flow
Cash from Financing Activity,,136,188,523,-677,-1,-199,-173,-125,14,50,-68,EIHOTEL,Cash_Flow
Net Cash Flow,,16,-28,576,-582,9,-4,1,-7,1,-2,1,EIHOTEL,Cash_Flow
Sales,417,410,494,541,504,434,,552,451,466,543,672,ESABINDIA,Income_Statement
Expenses,326,309,408,461,442,383,,507,406,426,491,593,ESABINDIA,Income_Statement
Operating Profit,91,101,85,80,62,51,,45,45,41,52,78,ESABINDIA,Income_Statement
OPM %,22%,25%,17%,15%,12%,12%,,8%,10%,9%,10%,12%,ESABINDIA,Income_Statement
Other Income,9,9,14,3,5,8,,0,6,8,11,17,ESABINDIA,Income_Statement
Interest,1,1,1,1,1,1,,0,0,0,0,0,ESABINDIA,Income_Statement
Depreciation,7,8,11,12,12,11,,14,10,10,10,11,ESABINDIA,Income_Statement
Profit before tax,93,101,88,71,54,47,,31,41,38,53,84,ESABINDIA,Income_Statement
Tax %,34%,34%,33%,33%,30%,30%,,23%,31%,29%,29%,32%,ESABINDIA,Income_Statement
Net Profit,61,66,59,47,38,33,,24,28,27,37,58,ESABINDIA,Income_Statement
EPS in Rs,39.75,42.99,38.3,30.82,24.54,21.52,,15.36,18.41,17.45,24.13,37.41,ESABINDIA,Income_Statement
Dividend Payout %,39%,47%,52%,49%,31%,5%,,7%,5%,6%,4%,241%,ESABINDIA,Income_Statement
Share Capital,15,15,15,15,15,15,,15,15,15,15,15,ESABINDIA,Balance_Sheet
